,brand_name,product_name,user_name,review,date,product_link
0,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,찌니573,세탁기돌리면서 건도준비 할수있어서 좋지만 건조시간이 생각보다길고 정전기가 많이나요ㅜ,2020.12.27 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
1,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,dohyun1190,예전부터 사고싶었던 모델이라 더 마음에 드네요ㅎㅎ,2021.03.01 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
2,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,난걷는걸좋아해,예전부터 디자인이 맘에 들어 쭉 보고 있다가 세일 많이 해서 드뎌 구입하게 되었어요. 아는 지인은 390에 구메했는데 오늘의의 집에서 250에 구입 ㅋㅋ 알뜰구매 했어요. 거기에 VIP 3%적립까지 우선 세탁이 넘 빨리 되고 건조기 기능에 이불 스팀이 넘~~ 좋구 만족합니다. 주위에 많이 알리고 자랑중입니다~^^,2021.02.20 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
3,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,m61,설치기사님너무친절하세요 ㆍ힘든공간설치해주시느라 고생하셧어요^^상품 백퍼만족합니다,2020.09.26 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
4,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,"이정화(성,준맘)","배송도 좋았고,설치기사님도 친절하시고 갖고싶던모델이라 너~~~무 좋아요..",2021.02.21 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
5,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,신살구,삶의 질을 높여준 제품입니다. 배송도 빠르고 설치 기사님도 친절하셨어요. 모르고는 살아도 맛보고는 없이 못 살겠네요. 뽀송한 수건으로 삶의 질을 높이세요👍,2021.02.21 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
6,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,Dkfoeoskfk,이단은 처음이라 아직 적응기에요 ㅎㅎ 세탁물 뺄때 조금 힘들어요 ㅠㅠㅋㅋㅋ,2021.01.09 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
7,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,JI0527,건조기는 신세계입니다 다들사세요꼭이요,2020.09.12 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
8,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,huuuu_____,"제일 잘 산 것들 중 하나인 워시타워,, 너무이쁘고 기능도 좋아요◡̈",2020.07.28 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
9,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,.0130,엄청 만족스러워요. 빨래 스트레스에서 해방됐어요. 좀 건조하긴한데 어쩔수없는듯. 건조준비는 상세하게 설정이 어려워 생각보다 불편해서 잘 안써요.,2021.03.08 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
10,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,신살구,삶의 질을 높여준 제품입니다. 배송도 빠르고 설치 기사님도 친절하셨어요. 모르고는 살아도 맛보고는 없이 못 살겠네요. 뽀송한 수건으로 삶의 질을 높이세요👍,2021.02.21 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
11,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,🍰이향구,소름도 적고 무엇보다 건조 기능있어 너무 편해요^^,2021.02.16 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
12,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,김하트하트,아직까지 단점이랄게 딱히 없어요ㅋㅋㅋ너무 좋아요,2021.01.19 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
13,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,"tae,eun woo",드럼세탁기 처음쓰지만 통돌이 보다 안좋다는 말 많이 들었지만 만족해요 건조기는 넘 넘 좋인요 요즘같은 시기에 이불 수건 건조되서 나오면 따뜻하고 좋네요 신세계네요,2020.12.17 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
14,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,별명없음89,너무 좋아요~ 가전은 역시 엘지인가봅니다ㅎㅎ,2020.12.13 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
15,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,옌르르,선물로 주문해드렸는데 아주 만족해하시네요ㅎㅎ,2020.10.20 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
16,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,peony_h,저희집 보물 1호입니다 ㅎㅎㅎ 너어뮤 좋아요 말해뭐해~~ 건조기 옷 줄지도 않고 젛아용!!,2020.10.02 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
17,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,오호리이,세탁이 진짜편해요 이래서 워시타워 하나봅니당,2020.08.29 ∙ 다른 쇼핑몰 구매,https://ohou.se/productions/663938/selling
18,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,znvltid,좁은집에 설치하느라 고생하셨어요 외관은 넘 만족합니다,2021.03.11 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
19,LG전자,트롬 워시타워 W16WTA 세탁21kg+건조16kg,큐달스,어머니 선물로 사드렸는데 너무 좋아하시네요:),2021.02.19 ∙ 오늘의집 구매,https://ohou.se/productions/663938/selling
